Service ID,Service,Organisation(s),Location(s),Service Type,Free,URL,Timing notes,OnePlanet Cats,Audience Cats,Use Cases,Basic type,Homeless Only,Disability Only,Children/Parents Only,Members Only,Referrals Only,Description
SRV001,Folkestone Repair Cafe,Repair Cafe;Sunflower House,Sunflower House,Regular event,TRUE,https://www.repaircafe.org/en/cafe/folkestone-repair-cafe/,10:30 - 12:30 Every 2nd Sunday of the month,"Zero waste, No food poverty",All,"save-money, get-involved",Community service,FALSE,FALSE,FALSE,FALSE,FALSE,"Folkestone Repair Cafe at Sunflower House is a real community collective: we are simply a group of people who like preserving special things with sentimental value, avoiding waste, fixing whatever we can fix!

You’ll find a warm welcome with free refreshments, a helpful team of repairers and some useful advice.
We are also planning a toolkit loan system to help you do stuff at home.

Get in touch if you can help – and we can add you to our listing of good people!"
SRV002,Ukrainian Community School,Sunflower House,Sunflower House,Regular event,TRUE,https://sunflowerhouse.org.uk/whats-on,Sunday; Tuesday,Community development,All,,Learning,FALSE,FALSE,FALSE,FALSE,FALSE,
SRV003,HomeStart Family Support,HomeStart Shepway;Sunflower House,The Community Room,Regular event,TRUE,,Monday; Tuesday,Emotional wellbeing,Babies/toddlers & parents,direct-support,Support service,FALSE,FALSE,TRUE,FALSE,FALSE,
SRV004,Folke Art,Community Art Kent;Sunflower House,The Community Room,Regular event,TRUE,https://communityartkent.co.uk/folke-art/,Monday; Wednesday,Creative Arts Practice,All,new-hobbies,Creative activities,FALSE,FALSE,FALSE,FALSE,FALSE,"Folke Art is an arts and health project in its second year, run by Community Art Kent CIC in partnership with Sunflower House. Folke Art is a free weekly community art class run out of the new Sunflower House community room on the Bayle and is for adults aged 55+.

Folke Art provides a much-needed accessible art classes to adults in Folkestone, providing long term health and wellbeing benefits to those that take part, connecting adults living in Folkestone to artists living and working in the town as well as local creative businesses.  

Folke Art Outcomes for participants:

·        Improved Mental Health

·        Reduction in loneliness

·        Increased sense of belonging

·        Improved access to the arts

·        Learning new skills

Folke Art Aims

·        Provide free art classes to Adults in Folkestone

·        Enable local artists to deliver workshops within the setting

·        Link creatives based around the Creative Quarter to the town

·        Provide supportive art classes that increase wellbeing.

·        Signpost participants to other activities across the town

·        Safeguard adults and provide a safe and supportive creative environment

The Folke Art project is currently open to new participants, if you would like to attend please email communityartkent@gmail.com

Folke Art, Follow on Folke Art and Folke Art CT19 are funded by Kent County Council, NHS Kent & Medway, Folkestone & Hythe District CouncIl, Folkestone Town Council, Skinners Foundation CT, Colyer Ferguson CT, Kent Community Foundation and South Eastern Railway."
SRV005,HomeStart Stay & Play,HomeStart Shepway,Dymchurch Primary School,Regular event,TRUE,,Tuesday 9-10:30 (Term time only),Emotional wellbeing,Babies/toddlers & parents,direct-support,Support service,FALSE,FALSE,TRUE,FALSE,FALSE,
SRV006,Action on Homelessness Meals Project,Action on Homelessness in Folkestone;Sunflower House,Sunflower House,Regular event,TRUE,https://sunflowerhouse-org-uk.stacktemp.com/whats-on,Tuesday; Thursday 12:15-1:30,No food poverty,All adults,direct-support,Food service,TRUE,FALSE,FALSE,FALSE,FALSE,
SRV007,Kent Community Pantry Shopping Club,Kent Community Pantry;Sunflower House,Sunflower House,Regular event,FALSE,https://www.kentcommunitypantry.org/,Friday 9:30-10:30,"No food poverty, Zero waste",All adults,"save-money, spend-local",Food service,FALSE,FALSE,FALSE,FALSE,FALSE,"Kent Community Pantry is part of the Children and Families charity group.

KCP aims is to make healthy and nutritious food affordable!

Our service will provide you with either 10 or 20 products, depending on the membership type you choose.  We aim to provide you with a wide selection of fresh fruit, veg, bakery products, dairy, meat, hygiene and non-food products subject to availability.

This is an amazing service and membership starts from as little as £17 a month!"
SRV008,Loose Ends Drop-In Session,Sunflower House,The Community Room,Regular event,TRUE,https://www.communityad.co.uk/exclusives/loose-ends-helping-to-tackle-social-isolation/,Wednesday 1-2:30,"Emotional wellbeing, Community development",All,"meet-people, safe-space",Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,"Loose Ends was set up to provide a simple drop-in – the name explains itself well. Visitors vary in age from early twenties through to their eighties. The age-old recipe of chatting with another human being over tea and biscuits is linked with referral to other activities in the Sunflower House portfolio. Our aim is to tackle social isolation in a practical way, advice on tap relating to health and wellbeing, support groups, help and basic hope. Hope is sometimes the difference between survival and tragedy."
SRV009,New Folkestone Society Monthly Coffee Afternoon,New Folkestone Society;Sunflower House,The Community Room,Regular event,TRUE,https://www.newfolkestonesociety.org.uk/events/,Every 2nd Thursday,Community development,All adults,meet-people,Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,
SRV010,Sunflower Coffee House / Warm Welcome Session,Sunflower House,Sunflower House,Regular event,TRUE,https://sunflowerhouse-org-uk.stacktemp.com/whats-on,Friday 9:30-11:30,"Emotional wellbeing, Community development",All,"safe-space, meet-people",Tea & talk,FALSE,FALSE,FALSE,FALSE,FALSE,
